任务ID,处理成功,结果成功,时间点,评论,源结果路径
PyPDF2_01,True,True,2025-05-06T22:06:32,提取的文本准确率 100.00%，满足要求。,/mnt/Data/coding_run/task19/PyPDF2_01/8c5e99c8-4606-4b5f-bf87-d64b6c1ffb82/PyPDF2/output_result
Faker_02,True,True,2025-05-06T22:06:32,所有 5 条公司数据验证通过！,/mnt/Data/coding_run/task19/Faker_02/de3fd7e7-d070-412b-bad3-5df48f40637b/Faker/output_result
PDFPlumber_03,True,True,2025-05-06T22:06:33.135935,提取的邮箱地址准确率：100.00% ✅ 测试通过！,/mnt/Data/coding_run/task19/PDFPlumber_03/a91b5e91-ba18-47a9-98e9-69381d2ec95e/PDFPlumber/output_result
DeScratch_01,True,False,2025-05-06T22:06:35,检测到白色像素 492796 个，疑似划痕,/mnt/Data/coding_run/task19/DeScratch_01/4a078db5-722b-41bb-bb2c-19296b709c2d/DeScratch/output_result
Scrapy_02,True,True,2025-05-06T22:06:37.256697,"字段级准确率: {'author': 1.0, 'text': 1.0}, 满足 95% 阈值",/mnt/Data/coding_run/task19/Scrapy_02/3eac5703-a94a-48ed-b7bd-cfd6d848a226/Scrapy/output_result
NeuroKit_02,False,False,2025-05-06T22:06:43.667890,错误：找不到SCR特征文件。错误：找不到EDA指标文件。错误：找不到处理后的EDA数据。错误：找不到EDA统计摘要。,/mnt/Data/coding_run/task19/NeuroKit_02/2d12ad75-4956-4ae9-8050-a98764277dc0/NeuroKit/output_result
Stegano_01,True,True,2025-05-06T22:06:44.832738,✅ 提取结果: 'stegano' | GT: 'stegano' 📐 PSNR: 102.60 dB 🎯 水印检测_match: 100% 🎯 PSNR ≥ 40.0: ✅ 满足,/mnt/Data/coding_run/task19/Stegano_01/fb898c58-6ad8-4c59-9cec-0a9a946f9d5c/Stegano/output_result
StyleTransfer_02,True,True,2025-05-06T22:06:47,"PSNR: 15.24, 任务结果: 成功",/mnt/Data/coding_run/task19/StyleTransfer_02/cf1bf2f9-4548-4649-8757-801d49644d6c/StyleTransfer/output_result
TransparentBackground_01,True,True,2025-05-06T22:06:52,"原图色彩丰富度: 71.40, 结果图色彩丰富度: 38.36, 差值: 33.04, 阈值: 20.0",/mnt/Data/coding_run/task19/TransparentBackground_01/1d93a329-522a-463f-907f-ff2e7882cfc4/TransparentBackground/output_result
Stegano_02,True,True,2025-05-06T22:06:53.310235,✅ 测试通过：提取消息与ground truth一致 (match = 100%),/mnt/Data/coding_run/task19/Stegano_02/9f94473e-d612-4845-a3e7-309740275c1a/Stegano/output_result
AnimeGANv3_03,True,False,2025-05-06T22:07:20,正在评估视频： 输入视频：/mnt/Code/Tasks/Code-Repo-Agent/dataset/eval/GitTaskBench/eval_automation/groundtruth/AnimeGANv3_03/gt.mp4 输出视频：/mnt/Code/Tasks/Code-Repo-Agent/dataset/eval/GitTaskBench/eval_automation/output/AnimeGANv3_03/output.mp4 平均SSIM：0.8005 FID得分：594.80 评估结果： SSIM（≥ 0.7）：通过 (0.8005) FID（≤ 400.0）：未通过 (594.80) 总体成功：否,/mnt/Data/coding_run/task19/AnimeGANv3_03/3644449b-90c6-41c9-b7f6-84ac52026b2e/AnimeGANv3/output_result
InvisibleWatermark_01,True,False,2025-05-06T22:07:25.021080,"❌ 提取结果: 'wwwwwwwww' | GT: 'invisible' 📐 PSNR: 39.06 dB 🎯 水印检测_match: 0% 🎯 PSNR ≥ 30.0: ✅ 满足 最终评估结果：水印匹配=False, PSNR满足=True",/mnt/Data/coding_run/task19/InvisibleWatermark_01/1b5db995-cfd8-4c82-95e2-84a4a84d0f5e/InvisibleWatermark/output_result
DeOldify_03,True,False,2025-05-06T22:07:26.732787,Average colorfulness: 4.07; Fail,/mnt/Data/coding_run/task19/DeOldify_03/f3e5dbc3-74f1-46db-bbf5-1d287482f18b/DeOldify/output_result
