任务ID,状态,处理成功,结果成功
PyPDF2_01,通过,True,True
Faker_02,通过,True,True
PDFPlumber_03,通过,True,True
DeScratch_01,处理成功但结果失败,True,False
Scrapy_02,通过,True,True
NeuroKit_02,处理失败,False,False
Stegano_01,通过,True,True
StyleTransfer_02,通过,True,True
TransparentBackground_01,通过,True,True
Stegano_02,通过,True,True
AnimeGANv3_03,处理成功但结果失败,True,False
InvisibleWatermark_01,处理成功但结果失败,True,False
DeOldify_03,处理成功但结果失败,True,False
Eparse_02,处理成功但结果失败,True,False
SuperResolution_02,通过,True,True
InvisibleWatermark_02,处理成功但结果失败,True,False
Stegano_03,通过,True,True
Eparse_01,处理成功但结果失败,True,False
AnimeGANv3_01,通过,True,True
PyPDF2_02,处理成功但结果失败,True,False
PDFPlumber_02,处理成功但结果失败,True,False
TransparentBackground_02,通过,True,True
StyleTransfer_03,通过,True,True
NeuroKit_01,处理失败,False,False
TransparentBackground_03,处理成功但结果失败,True,False
Trafilatura_01,通过,True,True
Faker_01,通过,True,True
SuperResolution_01,通过,True,True
AnimeGANv3_02,通过,True,True
InvisibleWatermark_03,处理失败,False,False
Faker_03,通过,True,True
PDFPlumber_01,通过,True,True
StyleTransfer_01,处理成功但结果失败,True,False
Eparse_03,处理成功但结果失败,True,False
VideoPose3D_01,计算过程错误,False,False
Trafilatura_02,计算过程错误,False,False
DeOldify_02,计算过程错误,False,False
SuperResolution_03,计算过程错误,False,False
DeOldify_01,计算过程错误,False,False
DeScratch_02,计算过程错误,False,False
DeScratch_03,计算过程错误,False,False
SpeechEnhance_01,计算过程错误,False,False
SpeechBrain_01,计算过程错误,False,False
NeuroKit_03,计算过程错误,False,False
Scrapy_01,计算过程错误,False,False
Trafilatura_03,计算过程错误,False,False
Scrapy_03,计算过程错误,False,False
PyPDF2_03,计算过程错误,False,False
VideoPose3D_02,未找到测试脚本,False,False
VideoPose3D_03,未找到测试脚本,False,False
FunASR_??,未找到结果,False,False
FunASR_??,未找到结果,False,False
